Lat,Lon,Dep,M,Region
-9.37,114.04,10,3.7,South of Bali  
-2.96,129.24,10,2.8,Seram  
-2.83,129.27,10,2.7,Seram  
-2.85,129.26,10,3.2,Seram  
-2.02,125.85,14,4.6,Ceram Sea 
2.07,126.98,36,4.0,Northern Molucca Sea 
-2.85,129.32,10,3.1,Seram  
-4.02,127.85,67,2.8,Banda Sea 
-2.85,129.31,10,3.6,Seram  
-2.85,129.29,10,2.7,Seram  
-3.01,129.21,10,2.4,Seram  
-2.82,129.32,10,2.7,Seram  
-2.79,129.24,10,2.6,Seram  
-2.96,129.27,10,3.1,Seram  
-2.78,129.18,10,2.8,Seram  
0.41,98.07,10,3.0,Northern Sumatra  
-2.85,129.27,10,3.0,Seram  
0.21,96.7,10,3.7,Off West Coast of Northern Sumatra 
-2.85,129.27,10,2.9,Seram  
-8.87,112.43,30,3.4,Java  
-2.81,129.39,10,3.0,Seram  
-2.87,129.32,10,3.0,Seram  
-2.86,129.31,10,3.0,Seram  
-2.86,129.31,10,3.1,Seram  
-2.85,129.27,15,4.1,Seram  
-2.8,129.39,12,5.7,Seram  
4.91,96.19,13,2.8,Northern Sumatra  
-2.89,129.12,21,3.0,Seram  
-8.11,123.52,10,3.8,Flores Region  
-2.63,129.11,10,2.8,Seram  
-7.3,110.43,13,2.8,Java  
-4.82,129.44,226,4.4,Banda Sea 
-2.61,121.07,10,2.6,Sulawesi  
5.52,95.37,10,2.7,Northern Sumatra  
-2.57,127.09,10,3.4,Ceram Sea 
-4.58,129.57,176,3.2,Banda Sea 
-2.58,121.18,10,2.4,Sulawesi  
-1.38,120.41,10,2.3,Sulawesi  
-3.65,128.95,115,3.2,Seram  
-0.38,124.02,29,5.3,Southern Molucca Sea 
0.47,97.06,10,3.6,Northern Sumatra  
0.44,97.09,10,3.9,Northern Sumatra  
1.1,97.64,10,3.3,Northern Sumatra  
-8.59,119.43,31,3.7,Flores Region  
0.27,96.59,10,4.3,Off West Coast of Northern Sumatra 
-8.68,124.2,12,3.9,Timor Region 
0.16,96.9,10,3.5,Off West Coast of Northern Sumatra 
-3.85,134.54,78,3.8,Irian Jaya Region  
1.92,126.62,10,4.4,Northern Molucca Sea 
-9.14,123.96,24,3.3,Timor Region 
0.54,97.3,68,3.7,Northern Sumatra  
-6.59,130.13,10,4.3,Banda Sea 
-3.84,128.31,10,3.4,Seram  
-6.91,129.87,34,4.1,Banda Sea 
0.31,96.81,29,3.8,Off West Coast of Northern Sumatra 
0.31,96.72,15,3.9,Off West Coast of Northern Sumatra 
-2.63,121.44,18,2.9,Sulawesi  
0.27,96.66,17,4.6,Off West Coast of Northern Sumatra 
-8.02,115.37,11,2.4,Bali Region  
-6.83,130.18,70,4.3,Banda Sea 
-8.62,118.4,104,3.3,Sumbawa Region  
1.63,126.09,12,3.7,Northern Molucca Sea 
0.31,96.63,10,4.6,Off West Coast of Northern Sumatra 
0.91,98.51,60,5.2,Northern Sumatra  
